Original,Changed
"el niño con la camisa verde","la niña con la camisa verde"
"ese niño con la camisa verde","esa niña con la camisa verde"
"el niño con la camisa verde está de pie","la niña con la camisa verde está de pie"
"el niño con la camisa verde está cerca de la entrada","la niña con la camisa verde está cerca de la entrada"
"ese niño con la camisa verde está de pie cerca de la oficina de correos","esa niña con la camisa verde está de pie cerca de la oficina de correos"
"pensé que el niño con la camisa verde tenía razón","pensé que la niña con la camisa verde tenía razón"
"Ese niño con el vestido amarillo","Esa niña con el vestido amarillo"
"Ese niño está caminando en la próxima esquina","Esa niña está caminando en la próxima esquina"
"no necesitamos ese niño con el pelo negro","no necesitamos esa niña con el pelo negro"
"necesitamos estar de pie cerca de ese niño con la camisa verde","necesitamos estar de pie cerca de esa niña con la camisa verde"
"necesitamos prepararnos con ese niño","necesitamos prepararnos con esa niña"
"necesitamos prepararnos en la próxima esquina con ese niño","necesitamos prepararnos en la próxima esquina con esa niña"
"necesitamos prepararnos en la próxima esquina con ese niño con la camisa verde","necesitamos prepararnos en la próxima esquina con esa niña con la camisa verde"
"queremos volvernos preparados en la próxima esquina con ese niño","queremos volvernos preparados en la próxima esquina con esa niña"
"queremos volvernos preparados con ese niño con la camisa verde cerca de la entrada","queremos volvernos preparados con esa niña con la camisa verde cerca de la entrada"
"queremos volvernos más pacientes con ese niño con la camisa verde","queremos volvernos más pacientes con esa niña con la camisa verde"
"queremos volvernos más pacientes con ese niño con el pelo negro enfrente de la oficina de correos","queremos volvernos más pacientes con esa niña con el pelo negro enfrente de la oficina de correos"
"ese niño con la camisa verde está caminando con nuestros niños","esa niña con la camisa verde está caminando con nuestros niños"
"no queremos perder a ese niño con la camisa verde","no queremos perder a esa niña con la camisa verde"
"no queremos perder la esperanza con ese niño con la camisa verde","no queremos perder la esperanza con esa niña con la camisa verde"
"queremos comer con ese niño con la camisa verde","queremos comer con esa niña con la camisa verde"
"sería mejor ir con ese niño con la camisa verde","sería mejor ir con esa niña con la camisa verde"
"Disfruto hacer cosas interesantes con mis amigos.","Disfruto hacer cosas interesantes con mis amigas."
"con mis amigos","con mis amigas"
"Con mis amigos aquí","Con mis amigas aquí"
"Hablo con mis amigos","Hablo con mis amigas"
"Estoy aquí con mis amigos","Estoy aquí con mis amigas"
"Hablo español con mis amigos","Hablo español con mis amigas"
"Quiero hacer algo con mis amigos","Quiero hacer algo con mis amigas"
"Disfruto hacer cosas con mis amigos","Disfruto hacer cosas con mis amigas"
"Quiero hablar español con mis amigos","Quiero hablar español con mis amigas"
"Voy a hablar con mis amigos aquí","Voy a hablar con mis amigas aquí"
"Quiero hacer cosas interesantes con mis amigos","Quiero hacer cosas interesantes con mis amigas"
"Quería escribir eso en español con mis amigos","Quería escribir eso en español con mis amigas"
"Quería escribir una carta con mis amigos","Quería escribir una carta con mis amigas"
"Comencé aprendiendo español con mis amigos la semana pasada","Comencé aprendiendo español con mis amigas la semana pasada"
"Él quería poner eso con mis amigos","Él quería poner eso con mis amigas"
"Necesito un poco más de tiempo para aprender español con mis amigos","Necesito un poco más de tiempo para aprender español con mis amigas"
"No disfruto hacer eso con mis amigos aquí","No disfruto hacer eso con mis amigas aquí"
"No dormí muy bien anoche con mis amigos","No dormí muy bien anoche con mis amigas"
"Para poder hablar español con mis amigos","Para poder hablar español con mis amigas"
"Quiero decir unas pocas palabras a mis amigos","Quiero decir unas pocas palabras a mis amigas"
"Quiero encontrar mis amigos la próxima semana aquí","Quiero encontrar mis amigas la próxima semana aquí"
"Estoy deseando hablar con mis amigos","Estoy deseando hablar con mis amigas"
"Voy a encontrar mis amigos mañana aquí","Voy a encontrar mis amigas mañana aquí"
"Queríamos permitir que hables con mis amigos.","Queríamos permitir que hables con mis amigas."
"He hecho muchas cosas interesantes con mis amigos","He hecho muchas cosas interesantes con mis amigas"
"Somos amigos, y después de que terminemos me gustaría relajarme","Somos amigas, y después de que terminemos me gustaría relajarme"
"somos amigos","somos amigas"
"somos amigos, esperábamos","somos amigas, esperábamos"
"debemos, somos amigos","debemos, somos amigas"
"somos amigos, solo necesitamos","somos amigas, solo necesitamos"
"somos amigos, por eso debemos","somos amigas, por eso debemos"
"somos amigos, necesitamos trabajar duro","somos amigas, necesitamos trabajar duro"
"somos amigos, debemos trabajar duro para aprender palabras nuevas","somos amigas, debemos trabajar duro para aprender palabras nuevas"
"somos amigos, esperábamos ver lo que estabas haciendo","somos amigas, esperábamos ver lo que estabas haciendo"
"somos amigos, por eso no esperábamos despertar en el medio de la noche","somos amigas, por eso no esperábamos despertar en el medio de la noche"
"después de que terminemos, somos amigos","después de que terminemos, somos amigas"
"somos amigos, después de que terminemos debemos trabajar duro","somos amigas, después de que terminemos debemos trabajar duro"
"salí para encontrar amigos el sábado","salí para encontrar amigas el sábado"
"salí el sábado para encontrar amigos","salí el sábado para encontrar amigas"
"Vi a algunos amigos.","Vi a algunas amigas."
"vi a amigos","vi a amigas"
"algunos amigos","algunas amigas"
"vi a algunos amigos","vi a algunas amigas"
"algunos amigos hoy","algunas amigas hoy"
"reuniéndome con algunos amigos","reuniéndome con algunas amigas"
"algunos amigos el sábado","algunas amigas el sábado"
"salí con algunos amigos","salí con algunas amigas"
"disfruto pasar tiempo con algunos amigos el sábado","disfruto pasar tiempo con algunas amigas el sábado"
"quería ver a algunos amigos pero estaba demasiado ocupado","quería ver a algunas amigas pero estaba demasiado ocupada"
"Nos dijeron que vi a algunos amigos reuniéndose como grupo","Nos dijeron que vi a algunas amigas reuniéndose como grupo"
"tuve algunos amigos el sábado","tuve algunas amigas el sábado"
"tuve un buen tiempo con amigos intentando relajarme el fin de semana","tuve un buen tiempo con amigas intentando relajarme el fin de semana"
"disfruto tener un vaso con amigos","disfruto tener un vaso con amigas"
"amigos o dos","amigas o dos"
"vi a algunos amigos o dos el sábado","vi a algunas amigas o dos el sábado"
"salí con amigos pero no hice mucho","salí con amigas pero no hice mucho"
"vi a amigos el domingo","vi a amigas el domingo"
"fue agradable ver amigos el fin de semana","fue agradable ver amigas el fin de semana"
"Fue agradable pasar tiempo con amigos","Fue agradable pasar tiempo con amigas"
"fue agradable ver amigos","fue agradable ver amigas"
"fue agradable pasar tiempo con amigos el sábado","fue agradable pasar tiempo con amigas el sábado"
"fue agradable relajarse con amigos el fin de semana","fue agradable relajarse con amigas el fin de semana"
"¿Cuáles de tus amigos hablan español?","¿Cuáles de tus amigas hablan español?"
"cuáles de tus amigos","cuáles de tus amigas"
"cuáles de tus amigos aquí","cuáles de tus amigas aquí"
"cuáles de tus amigos hablan","cuáles de tus amigas hablan"
"cuáles de tus amigos hablan español","cuáles de tus amigas hablan español"
"conoces a tus amigos","conoces a tus amigas"
"conoces cuáles de tus amigos hablan español","conoces cuáles de tus amigas hablan español"
"cuáles de tus amigos les gusta hablar español","cuáles de tus amigas les gusta hablar español"
"conoces cuáles de tus amigos les gusta hablar español","conoces cuáles de tus amigas les gusta hablar español"
"amigos a los que les gusta ver","amigas a las que les gusta ver"
"Sí él quería ver a unos amigos viejos.","Sí él quería ver a unas amigas viejas."
"ver a unos amigos viejos","ver a unas amigas viejas"
"quería ver a unos amigos viejos","quería ver a unas amigas viejas"
"ver a unos amigos viejos es importante","ver a unas amigas viejas es importante"
"pienso que ver a unos amigos viejos es importante","pienso que ver a unas amigas viejas es importante"
"crees que quería ver a unos amigos viejos","crees que quería ver a unas amigas viejas"
"estoy seguro que quería ver a unos amigos viejos hace una semana","estoy segura que quería ver a unas amigas viejas hace una semana"
"quería ver a unos amigos viejos el viernes por la noche","quería ver a unas amigas viejas el viernes por la noche"
"que dijo que quería ver a unos amigos viejos","que dijo que quería ver a unas amigas viejas"
"no él no quería ver amigos viejos","no él no quería ver amigas viejas"
"no él no quería ver a unos amigos viejos hace una semana","no él no quería ver a unas amigas viejas hace una semana"
"no quería dejarme con amigos viejos","no quería dejarme con amigas viejas"
"Aunque él quisiera ver a unos amigos viejos","Aunque él quisiera ver a unas amigas viejas"
"No podría ver a unos amigos viejos","No podría ver a unas amigas viejas"
"Ella necesitaba ver a unos amigos viejos","Ella necesitaba ver a unas amigas viejas"
"Él no necesitaba ver a unos amigos viejos","Él no necesitaba ver a unas amigas viejas"
"Necesitaba ella ver a unos amigos viejos","Necesitaba ella ver a unas amigas viejas"
"Necesitaba ella hablar a unos amigos viejos","Necesitaba ella hablar a unas amigas viejas"
"Ellos tenían amigos viejos","Ellos tenían amigas viejas"
"Sí ellos tenían unos amigos viejos","Sí ellos tenían unas amigas viejas"
"Nuestros amigos vinieron como a las seis.","Nuestras amigas vinieron como a las seis."
"nuestros amigos","nuestras amigas"
"sí nuestros amigos","sí nuestras amigas"
"eso es nuestros amigos","eso es nuestras amigas"
"nuestros amigos querían viajar","nuestras amigas querían viajar"
"nuestros amigos tienen que tomar","nuestras amigas tienen que tomar"
"nuestros amigos no dijeron eso","nuestras amigas no dijeron eso"
"nuestros amigos no van a poder romper esa ventana","nuestras amigas no van a poder romper esa ventana"
"nuestros amigos querían recaudar eso para caridad","nuestras amigas querían recaudar eso para caridad"
"nuestros amigos no pudieron descubrir quién vieron anoche","nuestras amigas no pudieron descubrir quién vieron anoche"
"nuestros amigos vinieron","nuestras amigas vinieron"
"nuestros amigos vinieron para tomar eso","nuestras amigas vinieron para tomar eso"
"nuestros amigos vinieron para recaudar eso para caridad","nuestras amigas vinieron para recaudar eso para caridad"
"nuestros amigos vinieron como a las seis","nuestras amigas vinieron como a las seis"
"nuestros amigos vinieron para viajar como a las seis","nuestras amigas vinieron para viajar como a las seis"
"tuvimos que irnos porque nuestros amigos vinieron","tuvimos que irnos porque nuestras amigas vinieron"
"nuestros amigos vinieron pero los niños estaban cansados","nuestras amigas vinieron pero las niñas estaban cansadas"
"puede que esté con nuestros amigos","puede que esté con nuestras amigas"
"nuestros amigos vinieron para estar allí","nuestras amigas vinieron para estar allí"
"era mucho más fácil cuando nuestros amigos vinieron","era mucho más fácil cuando nuestras amigas vinieron"
"no estaba cuando nuestros amigos vinieron a las seis","no estaba cuando nuestras amigas vinieron a las seis"
"quiero encontrar nuestros amigos","quiero encontrar nuestras amigas"
"nuestros amigos vinieron cerca del hotel","nuestras amigas vinieron cerca del hotel"
"durante la guerra nuestros amigos dijeron lo que querían hacer pero no dijeron dónde podían comprar algunas postales cerca del hotel","durante la guerra nuestras amigas dijeron lo que querían hacer pero no dijeron dónde podían comprar algunas postales cerca del hotel"
"mi número de habitación nuestros amigos dijeron que querían saber cuando vinieron como a las seis ayer por la tarde","mi número de habitación nuestras amigas dijeron que querían saber cuando vinieron como a las seis ayer por la tarde"
"le dije que nuestros amigos vinieron a las seis a decir qué querían comprar pero no dijeron a quién vieron allí","le dije que nuestras amigas vinieron a las seis a decir qué querían comprar pero no dijeron a quién vieron allí"
"una vez nuestros amigos dijeron que vieron la señal azul enfrente de áreas diferentes pero no dijeron dónde exactamente estaba","una vez nuestras amigas dijeron que vieron la señal azul enfrente de áreas diferentes pero no dijeron dónde exactamente estaba"
"sobre el muro nuestros amigos vinieron a ver","sobre el muro nuestras amigas vinieron a ver"
"Queremos volvernos más pacientes con nuestros niños.","Queremos volvernos más pacientes con nuestras niñas."
"con nuestros niños","con nuestras niñas"
"estar con nuestros niños","estar con nuestras niñas"
"necesitamos estar con nuestros niños","necesitamos estar con nuestras niñas"
"necesitamos prepararnos con nuestros niños","necesitamos prepararnos con nuestras niñas"
"no necesitamos estar de pie con nuestros niños","no necesitamos estar de pie con nuestras niñas"
"necesitamos girar a la izquierda con nuestros niños","necesitamos girar a la izquierda con nuestras niñas"
"queremos volvernos más pacientes con nuestros niños","queremos volvernos más pacientes con nuestras niñas"
"necesitamos estar de pie en la próxima esquina con nuestros niños","necesitamos estar de pie en la próxima esquina con nuestras niñas"
"ese niño con la camisa verde está caminando con nuestros niños","esa niña con la camisa verde está caminando con nuestras niñas"
"esa niña con el vestido amarillo está caminando hacia el autobús con nuestros niños","esa niña con el vestido amarillo está caminando hacia el autobús con nuestras niñas"
"no queremos perder a nuestros niños","no queremos perder a nuestras niñas"
"no queremos perder a nuestros niños enfrente de la oficina de correos","no queremos perder a nuestras niñas enfrente de la oficina de correos"
"no queremos perder la esperanza con nuestros niños","no queremos perder la esperanza con nuestras niñas"
"no queremos perder la esperanza enfrente de la oficina de correos con nuestros niños","no queremos perder la esperanza enfrente de la oficina de correos con nuestras niñas"
"queremos comer con nuestros niños","queremos comer con nuestras niñas"
"queremos comer con nuestros niños en la próxima esquina","queremos comer con nuestras niñas en la próxima esquina"
"necesitamos comer algo con nuestros niños","necesitamos comer algo con nuestras niñas"
"queremos comer algo con nuestros niños en la próxima esquina","queremos comer algo con nuestras niñas en la próxima esquina"
"sería mejor comer algo con nuestros niños","sería mejor comer algo con nuestras niñas"
"sería mejor no perder la esperanza con nuestros niños","sería mejor no perder la esperanza con nuestras niñas"
"sería mejor ir con nuestros niños","sería mejor ir con nuestras niñas"
"sería mejor ir con nuestros niños a la oficina de correos","sería mejor ir con nuestras niñas a la oficina de correos"
"sería mejor ir a la oficina de correos con nuestros niños","sería mejor ir a la oficina de correos con nuestras niñas"
"necesitamos ir directamente a casa con nuestros niños","necesitamos ir directamente a casa con nuestras niñas"
"sería mejor ir directamente a casa con nuestros niños","sería mejor ir directamente a casa con nuestras niñas"
"necesitamos prepararnos con nuestros niños para ir directamente a casa","necesitamos prepararnos con nuestras niñas para ir directamente a casa"
"sería agradable prepararnos con nuestros niños","sería agradable prepararnos con nuestras niñas"
"sería agradable comer algo con nuestros niños","sería agradable comer algo con nuestras niñas"
"sería agradable volvernos más pacientes con nuestros niños","sería agradable volvernos más pacientes con nuestras niñas"
"sería agradable ir directamente a casa con nuestros niños","sería agradable ir directamente a casa con nuestras niñas"
"sería agradable comer algo con nuestros niños hasta que todos los demás estén preparados","sería agradable comer algo con nuestras niñas hasta que todos los demás estén preparados"
"sería agradable parar con nuestros niños","sería agradable parar con nuestras niñas"
"sería agradable parar y comer algo con nuestros niños","sería agradable parar y comer algo con nuestras niñas"
"sería agradable parar en la próxima esquina con nuestros niños","sería agradable parar en la próxima esquina con nuestras niñas"
"sería agradable parar en la próxima esquina y comer algo con nuestros niños","sería agradable parar en la próxima esquina y comer algo con nuestras niñas"
"necesitamos parar en algún lugar con nuestros niños","necesitamos parar en algún lugar con nuestras niñas"
"sería agradable parar en algún lugar con nuestros niños para comer algo","sería agradable parar en algún lugar con nuestras niñas para comer algo"
"necesitamos parar en algún lugar con nuestros niños hasta que todos los demás estén preparados","necesitamos parar en algún lugar con nuestras niñas hasta que todos los demás estén preparados"
"necesitamos parar en algún lugar para comida con nuestros niños","necesitamos parar en algún lugar para comida con nuestras niñas"
"no necesitamos parar en la próxima esquina para comida con nuestros niños","no necesitamos parar en la próxima esquina para comida con nuestras niñas"
"deberíamos prepararnos con nuestros niños","deberíamos prepararnos con nuestras niñas"
"deberíamos volvernos más pacientes con nuestros niños hasta que todos los demás estén preparados","deberíamos volvernos más pacientes con nuestras niñas hasta que todos los demás estén preparados"
"necesitamos permanecer callados con nuestros niños","necesitamos permanecer callados con nuestras niñas"
"sería mejor permanecer callados en la próxima esquina con nuestros niños","sería mejor permanecer callados en la próxima esquina con nuestras niñas"
"deberíamos permanecer callados con nuestros niños","deberíamos permanecer callados con nuestras niñas"
"deberíamos permanecer callados en algún lugar con nuestros niños","deberíamos permanecer callados en algún lugar con nuestras niñas"
"deberíamos permanecer callados en la próxima esquina con nuestros niños","deberíamos permanecer callados en la próxima esquina con nuestras niñas"
"deberíamos permanecer callados en la próxima esquina con nuestros niños hasta que todos los demás estén preparados","deberíamos permanecer callados en la próxima esquina con nuestras niñas hasta que todos los demás estén preparados"
"deberíamos permanecer callados con nuestros niños tanto tiempo como sea posible","deberíamos permanecer callados con nuestras niñas tanto tiempo como sea posible"
"deberíamos permanecer callados en algún lugar con nuestros niños tanto tiempo como sea posible","deberíamos permanecer callados en algún lugar con nuestras niñas tanto tiempo como sea posible"
"permanecer callados con nuestros niños durante tanto tiempo como sea posible","permanecer callados con nuestras niñas durante tanto tiempo como sea posible"
"no deberíamos volvernos más pacientes con nuestros niños","no deberíamos volvernos más pacientes con nuestras niñas"
"no deberíamos permanecer callados con nuestros niños","no deberíamos permanecer callados con nuestras niñas"
"no deberíamos esperar volvernos más pacientes con nuestros niños","no deberíamos esperar volvernos más pacientes con nuestras niñas"
"Tuvimos que irnos porque los niños estaban cansados.","Tuvimos que irnos porque las niñas estaban cansadas."
"los niños estaban cansados","las niñas estaban cansadas"
"sí los niños estaban cansados","sí las niñas estaban cansadas"
"los niños estaban cansados el martes","las niñas estaban cansadas el martes"
"los niños estaban cansados a las seis","las niñas estaban cansadas a las seis"
"los niños estaban cansados y tuvimos que irnos","las niñas estaban cansadas y tuvimos que irnos"
"no dijeron que los niños estaban cansados","no dijeron que las niñas estaban cansadas"
"es posible que los niños estaban cansados","es posible que las niñas estaban cansadas"
"tuvimos que irnos porque los niños estaban cansados","tuvimos que irnos porque las niñas estaban cansadas"
"no es muy probable que los niños estaban cansados","no es muy probable que las niñas estaban cansadas"
"parte del problema es que los niños estaban cansados","parte del problema es que las niñas estaban cansadas"
"es que los niños estaban cansados","es que las niñas estaban cansadas"
"todo era porque los niños estaban cansados","todo era porque las niñas estaban cansadas"
"en el pasado los niños estaban cansados a las seis","en el pasado las niñas estaban cansadas a las seis"
"Ha sido encantador pasar tiempo al aire libre observando a los niños jugar.","Ha sido encantador pasar tiempo al aire libre observando a las niñas jugar."
"observando a los niños jugar","observando a las niñas jugar"
"observando a los niños jugar aquí","observando a las niñas jugar aquí"
"observando a los niños jugar al aire libre","observando a las niñas jugar al aire libre"
"observando a los niños jugar en la playa","observando a las niñas jugar en la playa"
"ha sido encantador observando a los niños jugar","ha sido encantador observando a las niñas jugar"
"pasar tiempo observando a los niños jugar","pasar tiempo observando a las niñas jugar"
"observando a los niños jugar al aire libre en la playa en la noche","observando a las niñas jugar al aire libre en la playa en la noche"
"ha sido encantador pasar tiempo observando a los niños jugar abajo en la playa con seguridad","ha sido encantador pasar tiempo observando a las niñas jugar abajo en la playa con seguridad"
"ha sido encantador pasar tiempo al aire libre observando a los niños jugar con tu ayuda para llegar allí con seguridad","ha sido encantador pasar tiempo al aire libre observando a las niñas jugar con tu ayuda para llegar allí con seguridad"
"espero ver a los niños","espero ver a las niñas"
"Frecuentemente hemos querido llevar a los niños a algún lugar un poco más cálido.","Frecuentemente hemos querido llevar a las niñas a algún lugar un poco más cálido."
"llevar a los niños","llevar a las niñas"
"llevar a los niños aquí","llevar a las niñas aquí"
"llevar a los niños a algún lugar","llevar a las niñas a algún lugar"
"llevar a los niños a algún lugar más cálido","llevar a las niñas a algún lugar más cálido"
"necesito cerrar los ojos después de compartir mis juguetes con los niños","necesito cerrar los ojos después de compartir mis juguetes con las niñas"
"ha oído cien historias de los niños en el jardín","ha oído cien historias de las niñas en el jardín"
"sospecho que ha oído cien historias de los niños en las tiendas","sospecho que ha oído cien historias de las niñas en las tiendas"
"sospecho que ha oído mil historias de los niños","sospecho que ha oído mil historias de las niñas"
"habría estado feliz de cerrar los ojos y compartir mil historias con los niños","habría estado feliz de cerrar los ojos y compartir mil historias con las niñas"
"Sabía que los niños lo habían roto.","Sabía que las niñas lo habían roto."
"que los niños","que las niñas"
"que los niños estaban aquí","que las niñas estaban aquí"
"que los niños no tenían ningún lugar donde vivir habría sido muy triste","que las niñas no tenían ningún lugar donde vivir habría sido muy triste"
"los niños lo habían roto","las niñas lo habían roto"
"sabía que los niños lo habían roto","sabía que las niñas lo habían roto"
"los niños lo habían roto y eso fue un error","las niñas lo habían roto y eso fue un error"
"sabía que los niños lo habían roto en ese momento","sabía que las niñas lo habían roto en ese momento"
